Berliner Kindl,../../public/img/beers/germany/Berliner_Kindl.jpg,Acide à fond. Trouble. Forte. Bue avec du sirop en Allemagne… Nous on a adorer… Ciao bella !,5,3,2,1,4.8%,Haute,25,80, Allemagne,germany
Köstritzer, ../../public/img/beers/germany/Kostritzer.jpg,Une brune au nez fumé. Peu de bulles. Des notes sucrées un peu pruneau. Mais ça reste très fraît.,7,2,1.5,0,3.8%,Basse,30,100, Allemagne, germany
Celebrator,../../public/img/beers/germany/Celebrator.jpg,Nez de caramel dur. Bel équilibre du corps et de l’esprit. Une finale caramel-alcool qui dure un peu.,5 ,3.5,0.5,0,6.7%,Basse ,18,62, Allemagne,germany
Methusalem ,../../public/img/beers/germany/Methusalem.jpg,On a des saveurs chocolat. Bon c'est assez fou la complexité et la richesse de cette bière,4,4.5,0,1,10%,Haute,24,70, Allemagne, germany
Bitburger Pils,../../public/img/beers/germany/Bitburger_Premium_Pils.jpg,Une blonde allemande plutôt charmante pour la soif une amertume abordable pour les palais sensibles des amoureux,6,1.5,2,1,4.8%,Basse,27,90,Allemagne, germany
Abraxxxas, ../../public/img/beers/germany/Abraxxxas.jpg,Un peu cidré fin gourmet équilibré. Une acidité légère un côté malté. Le tout est agréable rafraichissant original et expressif.,8,3,2,0.5,6%,Haute,35,110,Allemagne, germany
Hefe-Weissbier,../../public/img/beers/germany/Paulaner_Hefe_Weissbier.jpg,Elle passe toute seule. Un goût de blanche avec une petite entrée en bouche changeante en bonus Lorem ipsum lorem ipsum,5,1.5,2,0,5%,Haute,24,87,Allemagne,germany
St Erhard,../../public/img/beers/germany/St_Erhard.jpg,Limpide d’un ambré cognac. Le goût est sur un pur malt. Rondeurs et sécheresse. C’est la simplicité du gout fort du malt.,7 ,2,1,0,5%,Basse,30,105,Allemagne, germany




